NCM;Descrição;Mínimo;Máximo;I.I;IPI;PIS;COFINS;ICMS
3035400;'-- Cavalinhas (Sardas e cavalas*) (Scomber scombrus, Sc;1,0296;1,0296;9;0;0;0;0
3038112;TUBARÃO-AZUL EVISCERADO, S/CABEÇA, S/BARBATANAS, CONGELADO;1,6800;3,0000;9;9;9;9;0
3038114;Em pedaços, sem pele;2,4115;2,4115;9;0;0;0;0
3038990;OUTROS PEIXES CONGELADOS;3,6309;3,8196;9;0;0;0;0
3047100;"-- Bacalhau-do-atlântico (Gadus morhua),
bacalhau-da-gr";8,4438;11,1861;9;0;0;0;
3047300;-- Saithe (Escamudo*) (Pollachius virens);4,1674;4,6856;9;0;0;0;
3047400;"-- Merluzas (Pescadas*) e abróteas (Merlucciusspp.,
Urophyci";3,6315;3,6930;9;0;0;0;
3047500;-- Polaca-do-alasca (Escamudo-do-alasca*) (Theragra cha;2,4241;2,7837;9;0;0;0;
3047900;OUTROS FILÉS DE PEIXES CONGELADOS;2,8215;2,8569;9;0;0;0;
3048100;-- Salmões-do-pacífico (Oncorhynchus nerka, Oncorhynchus gor;4,9921;5,3734;9;0;0;0;
3048300;-- Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, S;4,9500;4,9500;9;0;0;0;
3048700;"-- Atuns (do
gêneroThunnus), bonito- listrado (gaiado*) (Kats";9,0708;9,1217;9;0;0;0;
3048990;OUTROS FILÉS DE PEIXES CONGELADOS;9,7880;9,9627;9;0;0;0;
3049500;"-- Peixes das
famíliasBregmacerotidae, Euclichthyidae, Gadid";7,1778;12,4130;9;0;0;0;
3049900;OUTRAS CARNES DE PEIXES CONGELADOS;14,0853;14,0853;9;0;0;0;
3053210;"Bacalhau-do-atlântico
(Gadus morhua), bacalhau-da-groel";6,3519;11,1841;0;0;2,1;9,65;
3053220;"FILÉS DE SAITH (POLLACHIUS VIRENS)
SEC.SALG.SALMOURA";4,0664;4,2629;9;0;2,1;9,65;
3053290;OUTS.FILÉS PEIXES D/FAMÍLIA BREGMACEROTIDAE) SEC.SAL.SAL;3,2807;3,4121;9;0;2,1;9,65;
3053900;-- Outros;3,0918;3,0918;9;0;2,1;9,65;
3055100;-- Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-gr;6,2035;6,2035;0;3,25;2,1;9,65;
3055310;"Bacalhau polar (Boreogadus saida),
saithe (Pollachius virens";4,3727;4,3727;0;3,25;2,1;9,65;
3055900;-- Outros;3,4335;3,4661;9;3,25;2,1;9,65;
3056200;-- Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-gr;13,4044;13,8408;0;3,25;2,1;9,65;
3056990;OUTROS PEIXES SALGADOS E EM SALMOURA;3,2360;3,3201;9;0;2,1;9,65;
3074310;Lulas;2,7973;3,0749;9;0;2,1;9,65;
